"file","mfcc_1","mfcc_2","mfcc_3","mfcc_4","mfcc_5","mfcc_6","mfcc_7","mfcc_8","mfcc_9","mfcc_10","mfcc_11","mfcc_12","mfcc_13"
"03a01Fa.wav","70.859786695136","-1.34991334841466","-1.00734639076445","3.51558020894993","-1.19033709688968","-0.045349469154529","-6.00744788905834","-0.753217369663807","-3.4292093386945","0.949177383056465","-4.67026190445366","-0.109374032944964","-1.98484353587628"
"03a01Nc.wav","71.2810293927435","2.98413206200395","-3.0321628792455","4.49682818355871","-1.53284807674653","0.304661199722194","-4.4988301657883","-4.33087553525811","-1.50129812972265","3.70430204669042","-1.06672749544564","1.45077156507345","-4.26229702500153"
"03a01Wa.wav","76.1813749085653","-3.05075327760156","-6.42554805995037","2.18234584558026","-3.3238025501524","0.0799072796935651","-5.24007949473046","-4.07233163658023","-4.13104850096032","-0.588523692084525","-3.73793000743847","-0.718135787634835","-2.74373020156654"
"03a02Fc.wav","74.5544777033391","-3.24624018038814","-1.51935976511656","1.1595053832558","-1.10405544278432","-0.619704443632585","-4.59380868100952","-3.63025362422598","-6.36971796964276","-3.61595706383148","-4.3608678944931","-3.73693358976458","-6.20622340680676"
"03a02Nc.wav","74.4799329073014","2.25063232321686","-0.768112100881597","7.00027350086154","-0.222309710314538","1.29596058472978","-3.33629305864896","-3.95895603341425","-2.9374104444488","1.57282656017599","-1.80358745839837","1.60264889309248","-3.29702647584336"
"03a02Ta.wav","74.8816632970182","-0.739771419560184","1.07737833883303","4.92766233356002","-1.36961792993844","2.74754716912069","-2.64509381835607","-1.55028349521476","-3.02565769521616","0.296486123088812","0.910323915460055","-1.84361030476122","-0.00576953490960812"
"03a02Wb.wav","76.9538174754239","-5.04978171016937","-2.13494447481488","3.39908302847376","-1.17867720265455","1.06960752821609","-2.01747258808794","-4.05291742050591","-8.92743999337595","-1.22227803431964","-2.77984016024339","-2.88736654711889","-3.52363631441458"
"03a02Wc.wav","72.695560095524","-3.39268898130264","-6.76880663458223","2.83270192825578","-2.6639418512659","0.0972814517907851","-5.42497866222967","-5.34452980542856","-9.21351468833729","-2.76389749135588","-0.750180304464406","-2.60250135655214","-7.43309622457067"
"03a04Ad.wav","81.319648388987","-3.98082503711494","-2.70463677670646","-0.32986402845686","-2.27157837409735","-0.259672486023049","-5.34277174529926","-2.33038544193831","-7.05995127096757","-1.71203821156088","-4.47830149275201","-4.50934497912847","-3.22881980907117"
"03a04Fd.wav","69.0312343845376","-0.978864127070078","-3.79575220348553","1.20121449812377","-2.80725802635412","-0.322259091298772","-5.58776066442607","-1.30673620239135","-3.33528249979748","0.458950633282731","-2.00352688664873","-1.44037445774396","-2.58306314714337"
"03a04Lc.wav","75.4294752435694","4.23445126091914","-1.09717288122054","4.16841389380846","-4.33362639365191","1.5260575831318","-6.18014475203791","-4.34179267287684","-0.402020581157854","1.25675187922446","-1.54067456384301","0.527502618938065","-2.51842058705108"
"03a04Nc.wav","76.9126478236884","3.10977929458781","-2.3264361654357","3.97633366584735","-2.85290267231454","0.534132459421049","-1.80141059314535","-3.19418924791152","-3.94978905974312","3.15098913376972","-0.916357673208467","0.276448975876254","-3.6322793979027"
"03a04Ta.wav","77.0285261698253","2.3813943931573","0.212583386769828","2.81051124644083","-1.57607633255138","3.35198027295878","-3.85127213135688","-1.87051540732686","-0.525512332927542","0.811649983551827","1.3297022684759","-2.63786046909238","1.0673806595348"
