,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-599.0418,-599.454,-576.723,-465.09515,-410.09772,-419.8629,-446.584,-444.75558,-435.6134,-372.42477,-335.2685,-342.55826,-361.85495,-329.35843,-256.77432,-196.03862,-190.6002,-221.28944,-248.37447,-272.64856,-247.44806,-266.59946,-338.58914,-393.90628,-312.56985,-223.27455,-204.9292,-217.59721,-216.12148,-214.25206,-236.35251,-314.89343,-371.014,-249.331,-205.29282,-199.32759,-199.17542,-244.03136,-297.14963,-336.0345,-380.49966,-466.9369,-410.80582,-341.46667,-305.26358,-262.76468,-192.16266,-165.16629,-177.45395,-241.04102
1,-273.24576,-214.13385,-185.49974,-171.30469,-210.42917,-297.648,-316.83923,-217.80266,-159.35826,-167.39676,-199.59932,-251.45467,-218.12828,-158.8469,-125.47628,-132.44481,-175.06357,-166.06583,-196.03378,-341.2044,-517.48456,-429.88104,-361.63422,-318.5209,-214.69124,-106.08108,-60.219925,-57.534058,-84.94698,-120.45784,-163.23923,-193.51048,-159.66325,-165.48999,-199.37749,-277.35425,-378.4429,-425.6907,-475.89856,-514.1615,-541.97034,-559.0415,-571.6986,-582.6746,-590.224,-598.3068,12.517177,11.957563,34.25788,78.52161
2,93.60299,90.079994,88.92495,90.9884,84.58683,87.84277,72.8757,49.132202,33.152657,48.475815,52.505646,55.824215,44.87397,31.757454,40.296368,29.254087,66.61403,102.24553,103.58651,77.43045,119.49192,105.34009,63.01082,13.7153225,-5.7515297,-7.689343,-14.093309,-35.906868,33.09349,81.54329,81.50774,64.355194,66.634605,61.682392,50.05419,56.921967,76.98919,72.74597,90.73624,115.30354,129.46149,127.96053,123.12757,104.24644,102.29753,117.016525,92.74656,93.1185,90.588425,92.47352
3,76.188255,26.925327,21.39533,85.275696,82.06004,59.473145,71.517105,109.94217,131.69958,127.9346,107.348206,81.09336,44.952362,69.78177,91.735504,110.19706,52.80488,-7.95949,-9.168654,13.245217,89.07738,92.28595,78.78216,78.33075,68.50366,50.02346,36.037926,31.429207,60.107162,89.70653,100.6002,110.68883,132.4928,133.28085,118.85382,97.60885,79.0817,63.49849,48.87204,35.14211,24.7466,13.512255,12.39106,11.90046,25.087036,21.049683,16.45023,15.384298,19.09351,20.684841
4,17.763952,29.38335,25.655458,7.1138086,-17.01966,-18.10147,-28.769423,-59.942482,-83.86511,-88.72951,-75.69856,-75.797935,-75.39397,-67.35231,-33.3357,-26.649023,-21.638237,-28.556599,-40.20037,-65.598854,-85.056,-89.70325,-77.5522,-64.22233,-23.531626,-62.505543,-86.38161,-128.99936,-125.51396,-88.6461,-77.44345,-62.39112,-35.474945,-7.65399,-13.116991,-19.202526,-25.913786,-48.801163,-89.151276,-114.4243,-107.66669,-67.3482,-44.027824,-72.83176,-84.346695,-67.70256,-43.805214,-33.17629,-35.28534,-51.233757
5,-76.356544,-87.97434,-73.3698,-59.87645,-73.995285,-114.92567,-155.04642,-161.5738,-140.0836,-100.91786,-70.74761,-13.2648735,38.233437,-39.35887,-68.72774,-62.969837,-59.023624,-111.493164,-160.6777,-185.28625,-189.68922,-186.13583,-158.53723,-120.274666,-120.934586,-80.65129,-48.114983,-23.965391,19.743343,38.243465,60.16807,63.929733,57.411842,53.039513,43.545456,33.511265,23.91139,13.257003,12.183566,11.805887,28.21741,68.77373,79.59722,67.705025,41.015488,29.175426,39.644768,47.917698,57.08194,56.616478
6,50.48707,58.166985,75.39755,81.044685,84.54326,84.121155,71.52138,67.2063,63.413815,46.037994,20.090624,7.2199535,5.2175274,36.241234,62.57834,62.51046,49.829227,37.77987,34.97046,30.646889,39.64841,35.84757,22.565777,-6.508932,-0.09332758,23.721312,28.778057,21.32376,7.463009,4.3873796,0.75197685,15.650135,19.25785,20.863386,28.931942,24.923141,30.348633,33.425655,36.676933,20.84394,9.479952,18.382967,34.94563,61.549797,60.65882,22.278067,21.419907,21.394142,27.110588,12.217348
7,9.096718,0.11736941,3.7872567,11.091829,35.843857,65.985214,70.669464,57.33423,54.699036,51.668358,41.999157,52.828518,38.067364,41.695206,26.313276,9.313478,3.9559174,15.336851,38.267834,60.726128,50.311462,60.271137,72.67359,58.40641,28.028685,27.646206,42.22351,47.589523,44.61383,44.52536,37.490223,30.974133,22.566864,12.847474,11.898684,11.674744,20.527946,9.668234,-5.68573,-6.6500835,-1.4253533,-3.451815,-6.9593487,-13.794545,-13.378717,-10.324717,-9.186947,-14.138193,-12.18329,-22.838678
8,-36.073082,-45.74049,-66.305626,-68.34917,-51.40418,-31.713024,-25.51224,-33.997345,-39.144974,-47.507263,-48.779034,-51.849445,-60.46164,-75.288055,-84.43964,-84.59589,-45.62838,-44.486446,-64.8824,-87.13131,-85.76103,-80.38423,-64.888214,-53.03016,-41.284172,-15.342962,-33.5633,-31.407364,-30.590704,-28.055433,-43.007256,-64.37871,-64.89464,-51.350594,-42.30139,-60.149857,-76.50342,-75.27835,-63.492683,-37.743027,-33.748272,-72.154724,-98.87368,-114.681046,-105.638115,-78.035934,-73.26816,-72.08038,-66.96527,-70.48065
9,-73.09001,-67.73337,-56.300438,-24.32813,11.442167,-12.561081,-36.40295,-29.73048,-47.26513,-83.07358,-99.40393,-93.800255,-84.46481,-72.74197,-63.503136,-80.36214,-98.15805,-105.172585,-87.397156,-51.017597,-16.804955,2.2436903,17.388908,24.988232,32.934975,35.88847,31.196287,27.735558,20.78104,12.306385,11.541821,11.508265,4.0525923,-20.457302,-18.65181,-14.082358,-1.4646887,17.013779,18.054718,27.890886,42.057518,44.857475,41.202053,36.61601,40.720394,29.420677,9.659887,-9.258737,-18.708282,-13.100797
10,-9.023424,-2.3439784,13.146345,16.777586,11.60582,25.510115,35.426186,55.73309,69.754776,66.38548,63.555313,62.421844,30.161684,28.183887,30.870321,12.338666,2.8799376,-5.9392815,7.5142484,10.781744,2.8072786,-1.5162207,2.6220772,11.095085,10.065707,20.334988,14.225212,4.9668117,1.729843,3.4188588,21.365368,23.753883,24.05242,34.216583,40.024864,46.671173,45.513664,33.164406,32.56725,26.624184,14.24292,4.6416016,-10.521894,4.805563,17.903223,20.975508,5.379853,-2.7225602,-2.809386,-17.086128
11,6.6271834,26.634527,32.805054,38.16031,29.854275,30.02509,30.544384,28.293476,21.853477,13.899252,8.304888,-8.0165415,-11.094565,-13.354403,-11.505342,9.421343,22.813564,19.496952,17.792517,19.740145,23.304958,27.180231,25.534088,23.996262,18.642948,11.663378,11.119711,11.308002,2.331628,-7.1203456,-4.515801,-6.7939634,-17.871632,-13.2778225,-9.185892,-29.964981,-37.39904,-29.437159,-15.241237,-25.0834,-45.16912,-56.14453,-60.456207,-56.40152,-41.340694,-33.152752,-38.538315,-37.39156,-30.994041,-22.370007
12,-36.339203,-47.773666,-57.635303,-50.402267,-34.78202,-25.68914,-19.34923,-4.1917853,-17.089844,-31.508438,-23.78455,-14.361353,-14.232834,-22.222433,-27.59476,-40.252113,-41.043087,-27.309582,-32.652718,-31.478022,-28.366169,-29.876102,-40.503708,-44.5179,-33.98049,-17.624933,-31.16241,-36.19667,-39.67894,-41.903206,-36.628487,-25.551506,-23.283022,-31.008114,-33.298172,-28.866837,-22.49633,-10.969826,0.037005544,-1.334633,-10.460027,-18.914696,-39.756912,-43.416794,-35.36322,-18.607283,-7.246397,-15.739321,-13.328455,-16.874054
